e_Prénom,e_Nom,e_NuméroÉtudiant,e_CodePermanent,e_ProfilDeFormationÉtudiant,e_SessionÉtudes,e_SigleDuCours,e_TitreDuCours,e_NoteFinaleDuCours,e_ProfilDeFormationDuProgramme
Bosede,Ewodo,20826457,EWOB15089033,Administration,"Été 2022","ADM 3011","Éthique et responsabilité sociale des entreprises",B,"Administration (développement local et Administration (économie) sociale)"
Tendai,Hamadi,50476859,HAMT28099558,Administration,"Été 2022","RPL 2003","Introduction aux relations publiques",B,"Communication appliquée aux relations publiques"
Subira,Mbappé,40395749,MBAS20099849,Administration,"Été 2022","ADM 6404","Performance et innovation dans les services de santé et services sociaux",A,"Organisation des services de santé et des services sociaux"
Subira,Mbappé,40395749,MBAS20099849,Administration,"Été 2022","ADM 6410","Acquisition des habilétés de gestion et interdisciplinarité en santé",A,"Organisation des services de santé et des services sociaux"
Subira,Mbappé,40395749,MBAS20099849,Administration,"Été 2022","ADM 6216","Leadership et travail d'équipe",C,"Organisation des services de santé et des services sociaux"
Subira,Mbappé,40395749,MBAS20099849,Administration,"Été 2022","ADM 6506","Gestion des conflits en contexte de projet",B,"Organisation des services de santé et des services sociaux"
Rudo,Mongo,71234652,MONR14029077,Administration,"Été 2022","ADM 1402","Entreprise et société",A,Management
Rudo,Mongo,71234652,MONR14029077,Administration,"Été 2022","ADM 3011","Éthique et responsabilité sociale des entreprises",A,Management
Rudo,Mongo,71234652,MONR14029077,Administration,"Été 2022","ADM 1018",Leadership,C,Management
Rudo,Mongo,71234652,MONR14029077,Administration,"Été 2022","COM 5002","Culture organisationnelle",B,Management
Gabrielle,Savard,57398591,SAVG12019604,Administration,"Hiver 2022","EUT 5120","Tourisme de nature et d'aventures",A,"Gestion du tourisme"
Gabrielle,Savard,57398591,SAVG12019604,Administration,"Hiver 2022","MKG 3315","Marketing de tourisme et hôtellerie",B,"Gestion du tourisme"
Gabrielle,Savard,57398591,SAVG12019604,Administration,"Hiver 2022","ADM 2115","Réaliser un projet d'affaires",C,"Gestion du tourisme"
Gabrielle,Savard,57398591,SAVG12019604,Administration,"Hiver 2022","ADM 2115A","Simulation SIM-Plan d'affaires",A,"Gestion du tourisme"
Oumniya,Bouazza,73648592,BOUO12109279,Administration,"Hiver 2020","ADM 2007","Introduction au marketing",B,"Administration (développement local et Administration (économie) sociale)"
Oumniya,Bouazza,73648592,BOUO12109279,Administration,"Hiver 2020","SCO 1205","Initiation à la comptabilité financière",C,"Administration (développement local et Administration (économie) sociale)"
Oumniya,Bouazza,73648592,BOUO12109279,Administration,"Hiver 2020","ADM 1015","Gestion des ressources humaines",A,"Administration (développement local et Administration (économie) sociale)"
Oumniya,Bouazza,73648592,BOUO12109279,Administration,"Hiver 2020","ADM 2006","Les systèmes d'information de gestion",B,"Administration (développement local et Administration (économie) sociale)"
Cecilio,Vera,75634980,VERC23059017,Administration,"Été 2022","ADM 2007","Introduction au marketing",B,"Administration (management)"
Cecilio,Vera,75634980,VERC23059017,Administration,"Été 2022","SCO 1205","Initiation à la comptabilité financière",A,"Administration (management)"
Cecilio,Vera,75634980,VERC23059017,Administration,"Été 2022","ADM 1015","Gestion des ressources humaines",B,"Administration (management)"
Cecilio,Vera,75634980,VERC23059017,Administration,"Été 2022","ADM 2006","Les systèmes d'information de gestion",B,"Administration (management)"
Patricio,Jara,45123746,JARP26069149,Administration,"Hiver 2021","ADM 6202","Gestion de la créativité",C,"Gestion de projets créatifs"
Patricio,Jara,45123746,JARP26069149,Administration,"Hiver 2021","ADM 6205","Gestion de projets et créativité",A,"Gestion de projets créatifs"
Patricio,Jara,45123746,JARP26069149,Administration,"Hiver 2021","ADM 6216","Leadership et travail d'équipe",B,"Gestion de projets créatifs"
Patricio,Jara,45123746,JARP26069149,Administration,"Hiver 2021","ADM 6218","Gestion des carrières créatives",C,"Gestion de projets créatifs"
Florence,Simard,42427515,SIMF24048917,Administration,"Hiver 2020","ADM 1404","Travail et société",A,"Gestion du travail de bureau"
Florence,Simard,42427515,SIMF24048917,Administration,"Hiver 2020","COM 5000","Communication organisationnelle",B,"Gestion du travail de bureau"
Florence,Simard,42427515,SIMF24048917,Administration,"Hiver 2020","DRT 1080","Droit du travail au Québec",C,"Gestion du travail de bureau"
Florence,Simard,42427515,SIMF24048917,Administration,"Hiver 2020","ECO 3003","Administration (économie) du travail",A,"Gestion du travail de bureau"
Isaac,Ouellet,82823433,OUEI05129937,Administration,"Été 2021","ADM 2006","Les systèmes d'information de gestion",A,"Administration (cheminement général)"
Isaac,Ouellet,82823433,OUEI05129937,Administration,"Été 2021","ECO 1300","Analyse microéconomique",C,"Administration (cheminement général)"
Isaac,Ouellet,82823433,OUEI05129937,Administration,"Été 2021","DRT 1060","Droit des affaires",B,"Administration (cheminement général)"
Isaac,Ouellet,82823433,OUEI05129937,Administration,"Été 2021","FIN 1020","Administration financière 1",A,"Administration (cheminement général)"
Anais,Goyette,41417517,GOYA16069978,Administration,"Hiver 2021","ADM 1013","Comportement organisationnel",A,"Administration ( gestion des services de santé et des services sociaux)"
Anais,Goyette,41417517,GOYA16069978,Administration,"Hiver 2021","ADM 2007","Introduction au marketing",A,"Administration ( gestion des services de santé et des services sociaux)"
Anais,Goyette,41417517,GOYA16069978,Administration,"Hiver 2021","SCO 1205","Initiation à la comptabilité financière",C,"Administration ( gestion des services de santé et des services sociaux)"
Anais,Goyette,41417517,GOYA16069978,Administration,"Hiver 2021","ADM 1015","Gestion des ressources humaines",B,"Administration ( gestion des services de santé et des services sociaux)"
Aurelie,Lafontaine,90903573,LAFA30039024,Administration,"Hiver 2021","ECO 2400","Analyse macroéconomique",A,"Administration (cheminement général)"
Aurelie,Lafontaine,90903573,LAFA30039024,Administration,"Hiver 2021","ADM 1420","Gestion des opérations",A,"Administration (cheminement général)"
Aurelie,Lafontaine,90903573,LAFA30039024,Administration,"Hiver 2021","MQT 2001","Statistiques appliquées à la gestion",A,"Administration (cheminement général)"
Aurelie,Lafontaine,90903573,LAFA30039024,Administration,"Hiver 2021","ADM 1402","Entreprise et société",B,"Administration (cheminement général)"
Nicolas,Charbonneau,86863433,CHAN21089435,Administration,"Automne 2020","ADM 1013","Comportement organisationnel",C,"Administration (management)"
Nicolas,Charbonneau,86863433,CHAN21089435,Administration,"Automne 2020","ADM 2007","Introduction au marketing",B,"Administration (management)"
Nicolas,Charbonneau,86863433,CHAN21089435,Administration,"Automne 2020","SCO 1205","Initiation à la comptabilité financière",A,"Administration (management)"
Nicolas,Charbonneau,86863433,CHAN21089435,Administration,"Automne 2020","ADM 1015","Gestion des ressources humaines",B,"Administration (management)"
Sophie,Hébert,56625289,HEBS3109827,Administration,"Automne 2021","ADM 1013","Comportement organisationnel",C,"Administration (développement local et Administration (économie) sociale)"
Sophie,Hébert,56625289,HEBS3109827,Administration,"Automne 2021","ADM 2007","Introduction au marketing",A,"Administration (développement local et Administration (économie) sociale)"
Sophie,Hébert,56625289,HEBS3109827,Administration,"Automne 2021","SCO 1205","Initiation à la comptabilité financière",C,"Administration (développement local et Administration (économie) sociale)"
Sophie,Hébert,56625289,HEBS3109827,Administration,"Automne 2021","ADM 1015","Gestion des ressources humaines",A,"Administration (développement local et Administration (économie) sociale)"
Jack,Villeneuve,46358567,VILJ17128682,Administration,"Hiver 2021","ADM 6404","Performance et innovation dans les services de santé et services sociaux",C,"Organisation des services de santé et des services sociaux"
Jack,Villeneuve,46358567,VILJ17128682,Administration,"Hiver 2021","ADM 6410","Acquisition des habilétés de gestion et interdisciplinarité en santé",A,"Organisation des services de santé et des services sociaux"
Jack,Villeneuve,46358567,VILJ17128682,Administration,"Hiver 2021","ADM 6412","Changement dans les organisations de santé et de services sociaux",B,"Organisation des services de santé et des services sociaux"
Jack,Villeneuve,46358567,VILJ17128682,Administration,"Hiver 2021","ADM 6415","Activité de synthèse et d'intégration",A,"Organisation des services de santé et des services sociaux"
