e_Prénom,e_Nom,e_NuméroÉtudiant,e_CodePermanent,e_SessionÉtudes,e_SigleDuCours,e_TitreDuCours,e_NoteFinaleDuCours
Denis,Masson,68749308,MASD18059672,"Automne 2020","SCI 1018","Statistiques avec R",A
Kasemchai,Pinthong,46374585,PINK18109912,"Hiver 2021","INF 6104","Recherche d'informations et web",C
Kasemchai,Pinthong,46374585,PINK18109912,"Hiver 2021","INF 6408","Informatique de l'analyse multidimensionnelle",D
Kasemchai,Pinthong,46374585,PINK18109912,"Hiver 2021","INF 6409","Forage de données",A
Kasemchai,Pinthong,46374585,PINK18109912,"Hiver 2021","ADM 3028","Len enjeux éthiques, légaux et sociétaux des TI",C
Quadiria,Elmaleh,28725349,ELMQ04069829,"Été 2020","INF 1250","Introduction aux bases de données",A
Quadiria,Elmaleh,28725349,ELMQ04069829,"Été 2020","INF 1410","Génie logiciel",A
Quadiria,Elmaleh,28725349,ELMQ04069829,"Été 2020","INF 1420","Interfaces humain-machine",A
Quadiria,Elmaleh,28725349,ELMQ04069829,"Été 2020","INF 6450","Gestion de l'information avec XML",A
Aldo,Navarro,85269451,NAVA19089477,"Hiver 2021","SCI 1016","Introduction à la science des données",B
Aldo,Navarro,85269451,NAVA19089477,"Hiver 2021","SCI 1018","Statistiques avec R",D
Aldo,Navarro,85269451,NAVA19089477,"Hiver 2021","INF 1421","Apprentissage machine",A
Aldo,Navarro,85269451,NAVA19089477,"Hiver 2021","INF 9004","Informatique des entrepôts de données",A
Andrea,Salinas,82645760,SALA05079039,"Été 2020","INF 1427","Architecture des ordinateurs",A
Andrea,Salinas,82645760,SALA05079039,"Été 2020","INF 1430","Projet de fin d'études",A
Andrea,Salinas,82645760,SALA05079039,"Été 2020","INF 1429","Systèmes d'exploitation",B
Andrea,Salinas,82645760,SALA05079039,"Été 2020","INF 1420","Interfaces humain-machine",B
Chloe,Nadeau,97952435,NADC16078819,"Été 2020","INF 1421","Apprentissage machine",A
Chloe,Nadeau,97952435,NADC16078819,"Été 2020","SCI 1016","Introduction à la science des données",A
Chloe,Nadeau,97952435,NADC16078819,"Été 2020","SCI 1017","Traitement de données massives",B
Chloe,Nadeau,97952435,NADC16078819,"Été 2020","SCI 1018","Statistiques avec R",Abandon
Nolan,Tremblay,85607437,TREN17099664,"Hiver 2020","INF 1427","Architecture des ordinateurs",C
Nolan,Tremblay,85607437,TREN17099664,"Hiver 2020","INF 1430","Projet de fin d'études",C
Nolan,Tremblay,85607437,TREN17099664,"Hiver 2020","INF 1429","Systèmes d'exploitation",B
Nolan,Tremblay,85607437,TREN17099664,"Hiver 2020","INF 1420","Interfaces humain-machine",B
Leanne,Pelletier,73033453,PELL26078719,"Été 2021","ADM 6010","Marketing en affaires électroniques",A
Leanne,Pelletier,73033453,PELL26078719,"Été 2021","ADM 6020","Stratégies en affaires électroniques",B
Leanne,Pelletier,73033453,PELL26078719,"Été 2021","ADM 6030","Gestion des risques en affaires électroniques",C
Leanne,Pelletier,73033453,PELL26078719,"Été 2021","ADM 6040","Gestion stratégique des technologies de l'information",A
Alexia,Gauthier,64443373,GAUA14099568,"Hiver 2021","ADM 6050","Analytique d'affaires",C
Alexia,Gauthier,64443373,GAUA14099568,"Hiver 2021","ENV 6008","Modélisation et systèmes d'aide à la décision en environnement",A
Alexia,Gauthier,64443373,GAUA14099568,"Hiver 2021","INF 6104","Recherche d'informations et web",A
Alexia,Gauthier,64443373,GAUA14099568,"Hiver 2021","INF 6408","Informatique de l'analyse multidimensionnelle",B
Estelle,Allard,78756479,ALLE19028416,"Été 2020","SCI 1016","Introduction à la science des données",B
Estelle,Allard,78756479,ALLE19028416,"Été 2020","SCI 1018","Statistiques avec R",A
Estelle,Allard,78756479,ALLE19028416,"Été 2020","INF 1421","Apprentissage machine",A
Estelle,Allard,78756479,ALLE19028416,"Été 2020","INF 9004","Informatique des entrepôts de données",A
Jackson,Crenier,56748972,CREJ26098867,"Hiver 2021","INF 1426","Traitement d'images",B
Jackson,Crenier,56748972,CREJ26098867,"Hiver 2021","INF 1428","Théorie des langages et des automates",C
Jackson,Crenier,56748972,CREJ26098867,"Hiver 2021","INF 6460","Recherche et filtrage d'informations",A
Jackson,Crenier,56748972,CREJ26098867,"Hiver 2021","INF 9004","Informatique des entrepôts de données",B
Elsa,Durand,91523567,DURE26058892,"Hiver 2022","INF 1250","Introduction aux bases de données",A
Elsa,Durand,91523567,DURE26058892,"Hiver 2022","INF 1410","Génie logiciel",A
Elsa,Durand,91523567,DURE26058892,"Hiver 2022","SCI 1016","Introduction à la science des données",C
Elsa,Durand,91523567,DURE26058892,"Hiver 2022","SCI 1018","Statistiques avec R",B
Géraldine,Faure,49869302,FAUG04088977,"Hiver 2021","SCI 1016","Introduction à la science des données",C
Géraldine,Faure,49869302,FAUG04088977,"Hiver 2021","SCI 1018","Statistiques avec R",D
Géraldine,Faure,49869302,FAUG04088977,"Hiver 2021","INF 1421","Apprentissage machine",B
Géraldine,Faure,49869302,FAUG04088977,"Hiver 2021","INF 9004","Informatique des entrepôts de données",A
Hector,Perrin,68735479,PERH28079906,"Hiver 2022","ADM 6010","Marketing en affaires électroniques",B
Hector,Perrin,68735479,PERH28079906,"Hiver 2022","ADM 6020","Stratégies en affaires électroniques",A
Hector,Perrin,68735479,PERH28079906,"Hiver 2022","ADM 6030","Gestion des risques en affaires électroniques",C
Hector,Perrin,68735479,PERH28079906,"Hiver 2022","ADM 6040","Gestion stratégique des technologies de l'information",B
Henriette,Marchand,69487561,MARH18039532,"Hiver 2022","SCI 1016","Introduction à la science des données",A
Henriette,Marchand,69487561,MARH18039532,"Hiver 2022","SCI 1017","Traitement de données massives",B
Henriette,Marchand,69487561,MARH18039532,"Hiver 2022","SCI 1018","Statistiques avec R",A
Henriette,Marchand,69487561,MARH18039532,"Hiver 2022","SCI 1402","Projet en science des données",A
Jacques,Deschamps,56486870,DESJ16128972,"Automne 2021","INF 1250","Introduction aux bases de données",B
Jacques,Deschamps,56486870,DESJ16128972,"Automne 2021","INF 1410","Génie logiciel",A
Jacques,Deschamps,56486870,DESJ16128972,"Automne 2021","INF 1420","Interfaces humain-machine",A
Jacques,Deschamps,56486870,DESJ16128972,"Automne 2021","INF 6450","Gestion de l'information avec XML",B
Louise,Brunet,85765870,BRUL10019182,"Hiver 2022","ENV 6008","Modélisation et systèmes d'aide à la décision en environnement",A
Louise,Brunet,85765870,BRUL10019182,"Hiver 2022","INF 6104","Recherche d'informations et web",B
Louise,Brunet,85765870,BRUL10019182,"Hiver 2022","INF 6408","Informatique de l'analyse multidimensionnelle",C
Louise,Brunet,85765870,BRUL10019182,"Hiver 2022","INF 6409","Forage de données",A
Michel,Barbier,46598210,BARM17099706,"Hiver 2023","INF 1420","Interfaces humain-machine",Abandon
Michel,Barbier,46598210,BARM17099706,"Hiver 2023","INF 1424","Projet de développement logiciel en informatique appliquée",B
Michel,Barbier,46598210,BARM17099706,"Hiver 2023","INF 2005","Programmation orientée objet avec C++",A
Michel,Barbier,46598210,BARM17099706,"Hiver 2023","INF 6450","Gestion de l'information avec XML",B
Nicole,Colin,91645760,COLN28129423,"Automne 2020","INF 6460","Recherche et filtrage d'informations",D
Nicole,Colin,91645760,COLN28129423,"Automne 2020","INF 9004","Informatique des entrepôts de données",A
Nicole,Colin,91645760,COLN28129423,"Automne 2020","SCI 1016","Introduction à la science des données",A
Nicole,Colin,91645760,COLN28129423,"Automne 2020","SCI 1017","Traitement de données massives",A
Pascal,Gillet,86742890,GILP23078456,"Hiver 2023","INF 6400","Gestion de connaissances en informatique",A
Pascal,Gillet,86742890,GILP23078456,"Hiver 2023","INF 1165","Réseaux et sécurité informatique",D
Pascal,Gillet,86742890,GILP23078456,"Hiver 2023","INF 1427","Architecture des ordinateurs",B
Pascal,Gillet,86742890,GILP23078456,"Hiver 2023","ADM 2006","Les systèmes d'information de gestion",A
Patricia,Leger,82645764,LEGP30089552,"Été 2022","INF 1250","Introduction aux bases de données",B
Patricia,Leger,82645764,LEGP30089552,"Été 2022","INF 1410","Génie logiciel",A
Patricia,Leger,82645764,LEGP30089552,"Été 2022","INF 1420","Interfaces humain-machine",A
Patricia,Leger,82645764,LEGP30089552,"Été 2022","INF 6450","Gestion de l'information avec XML",A
Rémi,Bouvier,46386740,BOUR12129613,"Été 2022","INF 6409","Forage de données",B
Rémi,Bouvier,46386740,BOUR12129613,"Été 2022","INF 6065","Sécurité des réseaux et des systèmes informatiques",B
Rémi,Bouvier,46386740,BOUR12129613,"Été 2022","INF 6070","Technologies sémantiques pour la gestion des connaissances",A
Rémi,Bouvier,46386740,BOUR12129613,"Été 2022","INF 6107","Web social",B
