Prénom,Nom,Adresse,Téléphone,Numéro d'étudiant,Adresse courriel,Mot de passe,Code permanent,Sexe,Date de naissance,Session d'études,Profil de formation de l'étudiant,Sigle du cours,Titre du cours,Note finale du cours,Nom du programme,Numéro du programme,Profil de formation du programme
Angélica,García,"968 Regent Ave, Montreal, QC H4A 2P7",514-669-9936,94627549,garcia.angelica@univ.teluq.ca,GARA94627549,GARA18048946,Feminin,18-04-1989,Été 2020,Droit,RIN 1012,Droit et pratique des conventions collectives,A,Programme court en droit et gouvernance de l'entreprise,9007,Droit et gouvernance de l'entreprise
Amparo,Gómez,"2049 Avenue Clifton, Montreal, QC H4A 2N3",438-232-3755,40289573,gomez.amparo@univ.teluq.ca,GOMA40289573,GOMA21028580,Feminin,21-02-2985,Hiver 2020,Administration,ADM 1013,Comportement organisationnel,B,Baccalauréat en administration (cocnentration en développement local et Administration (économie) sociale),6771,Administration (développement local et Administration (économie) sociale)
Amparo,Gómez,"2049 Avenue Clifton, Montreal, QC H4A 2N3",438-232-3755,40289573,gomez.amparo@univ.teluq.ca,GOMA40289573,GOMA21028580,Feminin,21-02-2985,Hiver 2020,Administration,ADM 2007,Introduction au marketing,A,Baccalauréat en administration (cocnentration en développement local et Administration (économie) sociale),6771,Administration (développement local et Administration (économie) sociale)
Amparo,Gómez,"2049 Avenue Clifton, Montreal, QC H4A 2N3",438-232-3755,40289573,gomez.amparo@univ.teluq.ca,GOMA40289573,GOMA21028580,Feminin,21-02-2985,Hiver 2020,Administration,SCO 1205,Initiation à la comptabilité financière,B,Baccalauréat en administration (cocnentration en développement local et Administration (économie) sociale),6771,Administration (développement local et Administration (économie) sociale)
Amparo,Gómez,"2049 Avenue Clifton, Montreal, QC H4A 2N3",438-232-3755,40289573,gomez.amparo@univ.teluq.ca,GOMA40289573,GOMA21028580,Feminin,21-02-2985,Hiver 2020,Administration,ADM 1015,Gestion des ressources humaines,C,Baccalauréat en administration (cocnentration en développement local et Administration (économie) sociale),6771,Administration (développement local et Administration (économie) sociale)
Antonio,López,"430 Rue Beaumont E, Saint-Bruno-de-Montarville, QC J3V 2R3",579-466-3081,37584760,lopez.antonio@univ.teluq.ca,LOPA37584760,LOPA27039393,Masculin,27-03-1993,Été 2020,Lettres et langues,FRA 2100,Trajets interculturels en français 1,A,Programme court en français langue seconde,229,Français langue seconde
Antonio,López,"430 Rue Beaumont E, Saint-Bruno-de-Montarville, QC J3V 2R3",579-466-3081,37584760,lopez.antonio@univ.teluq.ca,LOPA37584760,LOPA27039393,Masculin,27-03-1993,Été 2020,Lettres et langues,FRA 2120,Compétences en frasnçais langue seconde 1,C,Programme court en français langue seconde,229,Français langue seconde
Antonio,López,"430 Rue Beaumont E, Saint-Bruno-de-Montarville, QC J3V 2R3",579-466-3081,37584760,lopez.antonio@univ.teluq.ca,LOPA37584760,LOPA27039393,Masculin,27-03-1993,Été 2020,Lettres et langues,FRA 2130,Trajets interculturels en français 2,B,Programme court en français langue seconde,229,Français langue seconde
Antonio,López,"430 Rue Beaumont E, Saint-Bruno-de-Montarville, QC J3V 2R3",579-466-3081,37584760,lopez.antonio@univ.teluq.ca,LOPA37584760,LOPA27039393,Masculin,27-03-1993,Été 2020,Lettres et langues,FRA 2140,Compétences en frasnçais langue seconde 2,A,Programme court en français langue seconde,229,Français langue seconde
Augusto,Ramírez,"3216 Rue Éliane, Laval, QC H7P 5N6",438-881-9935,49780467,ramirez.augusto@univ.teluq.ca,RAMA49780467,RAMA18069082,Masculin,18-06-1990,Hiver 2023,Droit,DRT 1060,Droit des affaires,A,Programme court en droit et gouvernance de l'entreprise,9007,Droit et gouvernance de l'entreprise
Augusto,Ramírez,"3216 Rue Éliane, Laval, QC H7P 5N6",438-881-9935,49780467,ramirez.augusto@univ.teluq.ca,RAMA49780467,RAMA18069082,Masculin,18-06-1990,Hiver 2023,Droit,DRT 1062,Gouvernance de l'entreprise et responsabilités juridiques des administrateurs,B,Programme court en droit et gouvernance de l'entreprise,9007,Droit et gouvernance de l'entreprise
Augusto,Ramírez,"3216 Rue Éliane, Laval, QC H7P 5N6",438-881-9935,49780467,ramirez.augusto@univ.teluq.ca,RAMA49780467,RAMA18069082,Masculin,18-06-1990,Hiver 2023,Droit,DRT 1080,Droit du travail au Québec,A,Programme court en droit et gouvernance de l'entreprise,9007,Droit et gouvernance de l'entreprise
Augusto,Ramírez,"3216 Rue Éliane, Laval, QC H7P 5N6",438-881-9935,49780467,ramirez.augusto@univ.teluq.ca,RAMA49780467,RAMA18069082,Masculin,18-06-1990,Hiver 2023,Droit,DRT 1910,Aspects juridiques pour planificateurs financiers,B,Programme court en droit et gouvernance de l'entreprise,9007,Droit et gouvernance de l'entreprise
Beatriz,Cruz,"129 Rue Perron, Saint-Basile-le-Grand, QC J3N 1H5",354-994-6988,58476098,cruz.beatriz@univ.teluq.ca,CRUB58476098,CRUB20049142,Feminin,20-04-1991,Été 2020,Administration,ADM 3012,Gestion de la diversité culturelle,C,Baccalauréat en administration (concentration en management),6768,Administration (management)
Beatriz,Cruz,"129 Rue Perron, Saint-Basile-le-Grand, QC J3N 1H5",354-994-6988,58476098,cruz.beatriz@univ.teluq.ca,CRUB58476098,CRUB20049142,Feminin,20-04-1991,Été 2020,Administration,ADM 1400,Théories de l'organisation,A,Baccalauréat en administration (concentration en management),6768,Administration (management)
Beatriz,Cruz,"129 Rue Perron, Saint-Basile-le-Grand, QC J3N 1H5",354-994-6988,58476098,cruz.beatriz@univ.teluq.ca,CRUB58476098,CRUB20049142,Feminin,20-04-1991,Été 2020,Administration,ADM 1018,Leadership,B,Baccalauréat en administration (concentration en management),6768,Administration (management)
Beatriz,Cruz,"129 Rue Perron, Saint-Basile-le-Grand, QC J3N 1H5",354-994-6988,58476098,cruz.beatriz@univ.teluq.ca,CRUB58476098,CRUB20049142,Feminin,20-04-1991,Été 2020,Administration,ADM 3051,Portfolio de formation en management,A,Baccalauréat en administration (concentration en management),6768,Administration (management)
Camila,Rodríguez,"2127 Hampton Ave, Montreal, QC H4A 2K4",514-377-9957,82673584,rodriguez.camila@univ.teluq.ca,RODC82673584,RODC30018941,Feminin,30-01-1989,Hiver 2020,Droit,DRT 1062,Gouvernance de l'entreprise et responsabilités juridiques des administrateurs,B,Programme court en droit et gouvernance de l'entreprise,9007,Droit et gouvernance de l'entreprise
Camila,Rodríguez,"2127 Hampton Ave, Montreal, QC H4A 2K4",514-377-9957,82673584,rodriguez.camila@univ.teluq.ca,RODC82673584,RODC30018941,Feminin,30-01-1989,Hiver 2020,Droit,DRT 1080,Droit du travail au Québec,A,Programme court en droit et gouvernance de l'entreprise,9007,Droit et gouvernance de l'entreprise
Camila,Rodríguez,"2127 Hampton Ave, Montreal, QC H4A 2K4",514-377-9957,82673584,rodriguez.camila@univ.teluq.ca,RODC82673584,RODC30018941,Feminin,30-01-1989,Hiver 2020,Droit,DRT 1910,Aspects juridiques pour planificateurs financiers,A,Programme court en droit et gouvernance de l'entreprise,9007,Droit et gouvernance de l'entreprise
Camila,Rodríguez,"2127 Hampton Ave, Montreal, QC H4A 2K4",514-377-9957,82673584,rodriguez.camila@univ.teluq.ca,RODC82673584,RODC30018941,Feminin,30-01-1989,Hiver 2020,Droit,RIN 1012,Droit et pratique des conventions collectives,B,Programme court en droit et gouvernance de l'entreprise,9007,Droit et gouvernance de l'entreprise
Bruno,Díaz,"23 Rue Bernard, Saint-Basile-le-Grand, QC J3N 1N6",354-993-3995,72834957,diaz.bruno@univ.teluq.ca,DIAB72834957,DIAB26069543,Masculin,26-06-1995,Été 2020,Gestion des technologies de l'information,ADM 6020,Stratégies en affaires électroniques,B,Programme court en gestion de la transformation numérique,9362,Gestion de la transformation numérique
Bruno,Díaz,"23 Rue Bernard, Saint-Basile-le-Grand, QC J3N 1N6",354-993-3995,72834957,diaz.bruno@univ.teluq.ca,DIAB72834957,DIAB26069543,Masculin,26-06-1995,Été 2020,Gestion des technologies de l'information,ADM 6030,Gestion des risques en affaires électroniques,A,Programme court en gestion de la transformation numérique,9362,Gestion de la transformation numérique
Bruno,Díaz,"23 Rue Bernard, Saint-Basile-le-Grand, QC J3N 1N6",354-993-3995,72834957,diaz.bruno@univ.teluq.ca,DIAB72834957,DIAB26069543,Masculin,26-06-1995,Été 2020,Gestion des technologies de l'information,ADM 6040,Gestion stratégique des technologies de l'information,A,Programme court en gestion de la transformation numérique,9362,Gestion de la transformation numérique
Bruno,Díaz,"23 Rue Bernard, Saint-Basile-le-Grand, QC J3N 1N6",354-993-3995,72834957,diaz.bruno@univ.teluq.ca,DIAB72834957,DIAB26069543,Masculin,26-06-1995,Été 2020,Gestion des technologies de l'information,ADM 6052,Transformation numérique organisationnelle,A,Programme court en gestion de la transformation numérique,9362,Gestion de la transformation numérique
Carlos,Fernández,"3191 Rue Edgar, Laval, QC H7P 2C8",450-116-2296,81758493,fernandez.carlos@univ.teluq.ca,FERC81758493,FERC30099601,Masculin,30-09-1996,Hiver 2020,Lettres et langues,LIN 4015,Second Language Learning and Bilingualism,B,Programme court en enseignement de l'anglais langue seconde,502,Enseignement de l'anglais langue seconde
Carlos,Fernández,"3191 Rue Edgar, Laval, QC H7P 2C8",450-116-2296,81758493,fernandez.carlos@univ.teluq.ca,FERC81758493,FERC30099601,Masculin,30-09-1996,Hiver 2020,Lettres et langues,LIN 4120,Teaching English as a Secind Language using Communication Technologies,C,Programme court en enseignement de l'anglais langue seconde,502,Enseignement de l'anglais langue seconde
Carlos,Fernández,"3191 Rue Edgar, Laval, QC H7P 2C8",450-116-2296,81758493,fernandez.carlos@univ.teluq.ca,FERC81758493,FERC30099601,Masculin,30-09-1996,Hiver 2020,Lettres et langues,LIN 4125,Teaching English as a Second Language in Schools,B,Programme court en enseignement de l'anglais langue seconde,502,Enseignement de l'anglais langue seconde
Carlos,Fernández,"3191 Rue Edgar, Laval, QC H7P 2C8",450-116-2296,81758493,fernandez.carlos@univ.teluq.ca,FERC81758493,FERC30099601,Masculin,30-09-1996,Hiver 2020,Lettres et langues,LIN 4128,Teaching English as a Second Language to Adults,B,Programme court en enseignement de l'anglais langue seconde,502,Enseignement de l'anglais langue seconde
Cacilia,Silva,"1700 Rue Dumas, Laval, QC H7M 2V3",438-773-3397,10984637,silva.cecilia@univ.teluq.ca,SILC10984637,SILC14058887,Feminin,14-05-1988,Été 2020,Administration,ADM 1420,Gestion des opérations,B,Baccalauréat en administration (concentration en marketing),6769,Administration (marketing)
Cacilia,Silva,"1700 Rue Dumas, Laval, QC H7M 2V3",438-773-3397,10984637,silva.cecilia@univ.teluq.ca,SILC10984637,SILC14058887,Feminin,14-05-1988,Été 2020,Administration,MQT 2001,Statistiques appliquées à la gestion,A,Baccalauréat en administration (concentration en marketing),6769,Administration (marketing)
Cacilia,Silva,"1700 Rue Dumas, Laval, QC H7M 2V3",438-773-3397,10984637,silva.cecilia@univ.teluq.ca,SILC10984637,SILC14058887,Feminin,14-05-1988,Été 2020,Administration,ADM 1402,Entreprise et société,C,Baccalauréat en administration (concentration en marketing),6769,Administration (marketing)
Cacilia,Silva,"1700 Rue Dumas, Laval, QC H7M 2V3",438-773-3397,10984637,silva.cecilia@univ.teluq.ca,SILC10984637,SILC14058887,Feminin,14-05-1988,Été 2020,Administration,ADM 4007,Analyse stratégique de l'entreprise,B,Baccalauréat en administration (concentration en marketing),6769,Administration (marketing)
Ciro,Muñoz,"2395 Ch. des Prairies, Brossard, QC J4Y 2X2",579-378-6675,84537581,munoz.ciro@univ.teluq.ca,MUNC84537581,MUNC16098493,Masculin,16-09-1984,Hiver 2023,Droit,DRT 1060,Droit des affaires,C,Programme court en droit et gouvernance de l'entreprise,9007,Droit et gouvernance de l'entreprise
Ciro,Muñoz,"2396 Ch. des Prairies, Brossard, QC J4Y 2X2",579-378-6676,84537582,munoz.ciro@univ.teluq.ca,MUNC84537581,MUNC16098493,Masculin,16-09-1984,Hiver 2023,Droit,DRT 1062,Gouvernance de l'entreprise et responsabilités juridiques des administrateurs,A,Programme court en droit et gouvernance de l'entreprise,9007,Droit et gouvernance de l'entreprise
Ciro,Muñoz,"2397 Ch. des Prairies, Brossard, QC J4Y 2X2",579-378-6677,84537583,munoz.ciro@univ.teluq.ca,MUNC84537581,MUNC16098493,Masculin,16-09-1984,Hiver 2023,Droit,DRT 1080,Droit du travail au Québec,C,Programme court en droit et gouvernance de l'entreprise,9007,Droit et gouvernance de l'entreprise
Ciro,Muñoz,"2398 Ch. des Prairies, Brossard, QC J4Y 2X2",579-378-6678,84537584,munoz.ciro@univ.teluq.ca,MUNC84537581,MUNC16098493,Masculin,16-09-1984,Hiver 2023,Droit,DRT 1910,Aspects juridiques pour planificateurs financiers,B,Programme court en droit et gouvernance de l'entreprise,9007,Droit et gouvernance de l'entreprise
Boris,Sosa,"390 Rue Élie, Laval, QC H7P 2M4",450-993-3884,17639486,sosa.boris@univ.teluq.ca,SOSB17639486,SOSB18088909,Feminin,18-08-1989,Hiver 2020,Gestion des technologies de l'information,ADM 6010,Marketing en affaires électroniques,A,Programme court en gouvernance des technologies de l'information,589,Gouvernance des technologies de l'information
Boris,Sosa,"390 Rue Élie, Laval, QC H7P 2M4",450-993-3884,17639486,sosa.boris@univ.teluq.ca,SOSB17639486,SOSB18088909,Feminin,18-08-1989,Hiver 2020,Gestion des technologies de l'information,ADM 6020,Stratégies en affaires électroniques,C,Programme court en gouvernance des technologies de l'information,589,Gouvernance des technologies de l'information
Boris,Sosa,"390 Rue Élie, Laval, QC H7P 2M4",450-993-3884,17639486,sosa.boris@univ.teluq.ca,SOSB17639486,SOSB18088909,Feminin,18-08-1989,Hiver 2020,Gestion des technologies de l'information,ADM 6030,Gestion des risques en affaires électroniques,B,Programme court en gouvernance des technologies de l'information,589,Gouvernance des technologies de l'information
Boris,Sosa,"390 Rue Élie, Laval, QC H7P 2M4",450-993-3884,17639486,sosa.boris@univ.teluq.ca,SOSB17639486,SOSB18088909,Feminin,18-08-1989,Hiver 2020,Gestion des technologies de l'information,ADM 6048,Impartition des technologies de l'information,C,Programme court en gouvernance des technologies de l'information,589,Gouvernance des technologies de l'information
Claudia,Olivares,"6709 Chem. Conklin, Côte Saint-Luc, QC H4V 1B9",514-228-9956,28375984,olivares.claudia@univ.teluq.ca,OLIC28375984,OLIC23079447,Feminin,23-07-1994,Automne 2020,Administration,FIN 1020,Administration financière 1,A,Certificat en administration de services,4480,Administration de services
Claudia,Olivares,"6709 Chem. Conklin, Côte Saint-Luc, QC H4V 1B9",514-228-9956,28375984,olivares.cluaida@univ.teluq.ca,OLIC28375984,OLIC23079447,Feminin,23-07-1994,Automne 2020,Administration,FIN 2020,Administration financière 2,A,Certificat en administration de services,4480,Administration de services
Claudia,Olivares,"6709 Chem. Conklin, Côte Saint-Luc, QC H4V 1B9",514-228-9956,28375984,olivares.cluaida@univ.teluq.ca,OLIC28375984,OLIC23079447,Feminin,23-07-1994,Automne 2020,Administration,FIN 3120,Éléments d'analyse du crédit productif en microfinance,C,Certificat en administration de services,4480,Administration de services
Claudia,Olivares,"6709 Chem. Conklin, Côte Saint-Luc, QC H4V 1B9",514-228-9956,28375984,olivares.cluaida@univ.teluq.ca,OLIC28375984,OLIC23079447,Feminin,23-07-1994,Automne 2020,Administration,SCO 1060,Fiscalité 1,B,Certificat en administration de services,4480,Administration de services
César,Saavedra,"8315 Av. Orégon, Brossard, QC J4Y 2K1",579-338-4476,67534759,saavedra.cesar@univ.teluq.ca,SAAC67534759,SAAC17089693,Masculin,17-08-1996,Automne 2020,Gestion des technologies de l'information,ADM 6028R,Lectures dirigées,C,Diplôme d'études supérieures spécialisées en gouvernance des technologies de l'information,1910,Gouvernance des technologies de l'information
César,Saavedra,"8315 Av. Orégon, Brossard, QC J4Y 2K1",579-338-4476,67534759,saavedra.cesar@univ.teluq.ca,SAAC67534759,SAAC17089693,Masculin,17-08-1996,Automne 2020,Gestion des technologies de l'information,ADM 3028,"Len enjeux éthiques, légaux et sociétaux des TI",C,Diplôme d'études supérieures spécialisées en gouvernance des technologies de l'information,1910,Gouvernance des technologies de l'information
César,Saavedra,"8315 Av. Orégon, Brossard, QC J4Y 2K1",579-338-4476,67534759,saavedra.cesar@univ.teluq.ca,SAAC67534759,SAAC17089693,Masculin,17-08-1996,Automne 2020,Gestion des technologies de l'information,ADM 6010,Marketing en affaires électroniques,A,Diplôme d'études supérieures spécialisées en gouvernance des technologies de l'information,1910,Gouvernance des technologies de l'information
César,Saavedra,"8315 Av. Orégon, Brossard, QC J4Y 2K1",579-338-4476,67534759,saavedra.cesar@univ.teluq.ca,SAAC67534759,SAAC17089693,Masculin,17-08-1996,Automne 2020,Gestion des technologies de l'information,ADM 6048,Impartition des technologies de l'information,A,Diplôme d'études supérieures spécialisées en gouvernance des technologies de l'information,1910,Gouvernance des technologies de l'information
Celia,Vargas,"8145 Av. Sartre, Brossard, QC J4X 1P8",438-466-4996,91850392,vargas.cecilia@univ.teluq.ca,VARC91850392,VARC24039781,Feminin,24-03-1997,Hiver 2023,Lettres et langues,LIN 1001,Langue et société,B,Programme court en science du langage,921,Sciences du langage
Celia,Vargas,"8145 Av. Sartre, Brossard, QC J4X 1P8",438-466-4996,91850392,vargas.cecilia@univ.teluq.ca,VARC91850392,VARC24039781,Feminin,24-03-1997,Hiver 2023,Lettres et langues,LIN 2001,Langue française: histoire générale et spécifique québécoise,C,Programme court en science du langage,921,Sciences du langage
Celia,Vargas,"8145 Av. Sartre, Brossard, QC J4X 1P8",438-466-4996,91850392,vargas.cecilia@univ.teluq.ca,VARC91850392,VARC24039781,Feminin,24-03-1997,Hiver 2023,Lettres et langues,LIN 3001,Le langage et ses usages,A,Programme court en science du langage,921,Sciences du langage
Celia,Vargas,"8145 Av. Sartre, Brossard, QC J4X 1P8",438-466-4996,91850392,vargas.cecilia@univ.teluq.ca,VARC91850392,VARC24039781,Feminin,24-03-1997,Hiver 2023,Lettres et langues,LIN 3004,Lexicologie et lexicographie de la langue française,B,Programme court en science du langage,921,Sciences du langage
Claudio,Martínez,"2569 Rue Park Row E, Montréal, QC H4B 2H8",514-448-4496,81758478,martinez.claudio@univ.teluq.ca,MARC81758478,MARC18079545,Masculin,18-07-1995,Hiver 2020,Droit,DRT 1062,Gouvernance de l'entreprise et responsabilités juridiques des administrateurs,C,Programme court en droit et gouvernance de l'entreprise,9007,Droit et gouvernance de l'entreprise
Claudio,Martínez,"2569 Rue Park Row E, Montréal, QC H4B 2H8",514-448-4496,81758478,martinez.claudio@univ.teluq.ca,MARC81758478,MARC18079545,Masculin,18-07-1995,Hiver 2020,Droit,DRT 1080,Droit du travail au Québec,B,Programme court en droit et gouvernance de l'entreprise,9007,Droit et gouvernance de l'entreprise
Claudio,Martínez,"2569 Rue Park Row E, Montréal, QC H4B 2H8",514-448-4496,81758478,martinez.claudio@univ.teluq.ca,MARC81758478,MARC18079545,Masculin,18-07-1995,Hiver 2020,Droit,DRT 1910,Aspects juridiques pour planificateurs financiers,A,Programme court en droit et gouvernance de l'entreprise,9007,Droit et gouvernance de l'entreprise
Claudio,Martínez,"2569 Rue Park Row E, Montréal, QC H4B 2H8",514-448-4496,81758478,martinez.claudio@univ.teluq.ca,MARC81758478,MARC18079545,Masculin,18-07-1995,Hiver 2020,Droit,RIN 1012,Droit et pratique des conventions collectives,A,Programme court en droit et gouvernance de l'entreprise,9007,Droit et gouvernance de l'entreprise
Damián,Vásquez,"8767 Rue de Montbrun, Laval, QC H7A 3L2",450-998-2275,87097563,vasquez.damian@univ.teluq.ca,VASD87097563,VASD28049707,Masculin,28-04-1997,Automne 2020,Lettres et langues,LIN 4033,Terminologie fondamentale,B,Programme court d'initiation à la traduction en français et en espagnol,9020,Initiation à la traduction en français et en espagnol
Damián,Vásquez,"8767 Rue de Montbrun, Laval, QC H7A 3L2",450-998-2275,87097563,vasquez.damian@univ.teluq.ca,VASD87097563,VASD28049707,Masculin,28-04-1997,Automne 2020,Lettres et langues,TRA 4011,Iniciación a la traducción profesional: francés-español,A,Programme court d'initiation à la traduction en français et en espagnol,9020,Initiation à la traduction en français et en espagnol
Damián,Vásquez,"8767 Rue de Montbrun, Laval, QC H7A 3L2",450-998-2275,87097563,vasquez.damian@univ.teluq.ca,VASD87097563,VASD28049707,Masculin,28-04-1997,Automne 2020,Lettres et langues,ESP 4035,Reducción de textos,A,Programme court d'initiation à la traduction en français et en espagnol,9020,Initiation à la traduction en français et en espagnol
Damián,Vásquez,"8767 Rue de Montbrun, Laval, QC H7A 3L2",450-998-2275,87097563,vasquez.damian@univ.teluq.ca,VASD87097563,VASD28049707,Masculin,28-04-1997,Automne 2020,Lettres et langues,LIN 3004,Lexicologie et lexicographie de la langue française,B,Programme court d'initiation à la traduction en français et en espagnol,9020,Initiation à la traduction en français et en espagnol
Cristina,Alarcón,"3504 Rue de l'Amiral, Laval, QC H7E 0A1",438-558-0557,71658475,alarcon.cristina@univ.teluq.ca,ALAC71658475,ALAC07019085,Feminin,7/1/1990,Hiver 2020,Gestion des technologies de l'information,ADM 6010,Marketing en affaires électroniques,B,"Maîtrise en sciences (technologies de l'information), profil avec mémoire",1811,"Sciences (technologie de l'information), profil avec mémoire"
Cristina,Alarcón,"3504 Rue de l'Amiral, Laval, QC H7E 0A1",438-558-0557,71658475,alarcon.cristina@univ.teluq.ca,ALAC71658475,ALAC07019085,Feminin,7/1/1990,Hiver 2020,Gestion des technologies de l'information,ADM 6020,Stratégies en affaires électroniques,A,"Maîtrise en sciences (technologies de l'information), profil avec mémoire",1811,"Sciences (technologie de l'information), profil avec mémoire"
Cristina,Alarcón,"3504 Rue de l'Amiral, Laval, QC H7E 0A1",438-558-0557,71658475,alarcon.cristina@univ.teluq.ca,ALAC71658475,ALAC07019085,Feminin,7/1/1990,Hiver 2020,Gestion des technologies de l'information,ADM 6030,Gestion des risques en affaires électroniques,A,"Maîtrise en sciences (technologies de l'information), profil avec mémoire",1811,"Sciences (technologie de l'information), profil avec mémoire"
Cristina,Alarcón,"3504 Rue de l'Amiral, Laval, QC H7E 0A1",438-558-0557,71658475,alarcon.cristina@univ.teluq.ca,ALAC71658475,ALAC07019085,Feminin,7/1/1990,Hiver 2020,Gestion des technologies de l'information,ADM 6040,Gestion stratégique des technologies de l'information,C,"Maîtrise en sciences (technologies de l'information), profil avec mémoire",1811,"Sciences (technologie de l'information), profil avec mémoire"
Lucía,Cácerez,"7455 Boul Pelletier, Brossard, QC J4W 3A9",579-668-4996,72546879,cacerez.lucia@univ.teluq.ca,CACL72546879,CACL11049494,Feminin,11/4/1994,Automne 2020,Sciences humaines et sociales,INT 1010,Introduction au développement international,B,Certificat en études internationales,4076,Études internationales
Lucía,Cácerez,"7455 Boul Pelletier, Brossard, QC J4W 3A9",579-668-4996,72546879,cacerez.lucia@univ.teluq.ca,CACL72546879,CACL11049494,Feminin,11/4/1994,Automne 2020,Sciences humaines et sociales,POL 1010,Introduction aux relations internationales,C,Certificat en études internationales,4076,Études internationales
Lucía,Cácerez,"7455 Boul Pelletier, Brossard, QC J4W 3A9",579-668-4996,72546879,cacerez.lucia@univ.teluq.ca,CACL72546879,CACL11049494,Feminin,11/4/1994,Automne 2020,Sciences humaines et sociales,ADM 2024,Relations Nord-Sud,A,Certificat en études internationales,4076,Études internationales
Lucía,Cácerez,"7455 Boul Pelletier, Brossard, QC J4W 3A9",579-668-4996,72546879,cacerez.lucia@univ.teluq.ca,CACL72546879,CACL11049494,Feminin,11/4/1994,Automne 2020,Sciences humaines et sociales,ADM 3007,Initiatives de développement local et d'Administration (économie) sociale,A,Certificat en études internationales,4076,Études internationales
Sara,Salinas,"995 Rue Duchesneau, Laval, QC H7A 3V7",450-995-9476,35475689,salinas.sara@univ.teluq.ca,SALS35475689,SALS09129529,Feminin,9/12/1995,Automne 2020,Droit,DRT 1060,Droit des affaires,B,Programme court en droit et gouvernance de l'entreprise,9007,Droit et gouvernance de l'entreprise
Sara,Salinas,"995 Rue Duchesneau, Laval, QC H7A 3V7",450-995-9476,35475689,salinas.sara@univ.teluq.ca,SALS35475689,SALS09129529,Feminin,9/12/1995,Automne 2020,Droit,DRT 1062,Gouvernance de l'entreprise et responsabilités juridiques des administrateurs,B,Programme court en droit et gouvernance de l'entreprise,9007,Droit et gouvernance de l'entreprise
Sara,Salinas,"995 Rue Duchesneau, Laval, QC H7A 3V7",450-995-9476,35475689,salinas.sara@univ.teluq.ca,SALS35475689,SALS09129529,Feminin,9/12/1995,Automne 2020,Droit,DRT 1080,Droit du travail au Québec,C,Programme court en droit et gouvernance de l'entreprise,9007,Droit et gouvernance de l'entreprise
Sara,Salinas,"995 Rue Duchesneau, Laval, QC H7A 3V7",450-995-9476,35475689,salinas.sara@univ.teluq.ca,SALS35475689,SALS09129529,Feminin,9/12/1995,Automne 2020,Droit,DRT 1910,Aspects juridiques pour planificateurs financiers,A,Programme court en droit et gouvernance de l'entreprise,9007,Droit et gouvernance de l'entreprise
David,Escobar,"8584 Rue Pierre-Boucher, Laval, QC H7A 3C4",438-884-9967,46573891,escobar.david@univ.teluq.ca,ESCD46573891,ESCD16059785,Masculin,16-05-1997,Hiver 2021,Lettres et langues,LIT 4001,Littérature de masse,B,Programme court en littérature populaire,114,Littérature populaire
David,Escobar,"8584 Rue Pierre-Boucher, Laval, QC H7A 3C4",438-884-9967,46573891,escobar.david@univ.teluq.ca,ESCD46573891,ESCD16059785,Masculin,16-05-1997,Hiver 2021,Lettres et langues,LIT 4003,Bandde dessinée et figuration narrative,C,Programme court en littérature populaire,114,Littérature populaire
David,Escobar,"8584 Rue Pierre-Boucher, Laval, QC H7A 3C4",438-884-9967,46573891,escobar.david@univ.teluq.ca,ESCD46573891,ESCD16059785,Masculin,16-05-1997,Hiver 2021,Lettres et langues,LIT 4004,Littérature pour enfants,B,Programme court en littérature populaire,114,Littérature populaire
David,Escobar,"8584 Rue Pierre-Boucher, Laval, QC H7A 3C4",438-884-9967,46573891,escobar.david@univ.teluq.ca,ESCD46573891,ESCD16059785,Masculin,16-05-1997,Hiver 2021,Lettres et langues,LIT 4005,Le roman d'amour,A,Programme court en littérature populaire,114,Littérature populaire
Félix,Ruiz,"8691 Rue la Périère, Laval, QC H7A 3V5",459-773-9970,16354867,ruiz.felix@univ.teluq.ca,RUIF16354867,RUIF27039496,Masculin,27-03-1994,Hiver 2023,Informatique et technologies de l'information,INF 6460,Recherche et filtrage d'informations,C,Certificat en science des données,4865,Science des données
Félix,Ruiz,"8691 Rue la Périère, Laval, QC H7A 3V5",459-773-9970,16354867,ruiz.felix@univ.teluq.ca,RUIF16354867,RUIF27039496,Masculin,27-03-1994,Hiver 2023,Informatique et technologies de l'information,INF 9004,Informatique des entrepôts de données,A,Certificat en science des données,4865,Science des données
Félix,Ruiz,"8691 Rue la Périère, Laval, QC H7A 3V5",459-773-9970,16354867,ruiz.felix@univ.teluq.ca,RUIF16354867,RUIF27039496,Masculin,27-03-1994,Hiver 2023,Informatique et technologies de l'information,SCI 1031,Visualisation et analyse de données spatiales avec R,B,Certificat en science des données,4865,Science des données
Félix,Ruiz,"8691 Rue la Périère, Laval, QC H7A 3V5",459-773-9970,16354867,ruiz.felix@univ.teluq.ca,RUIF16354867,RUIF27039496,Masculin,27-03-1994,Hiver 2023,Informatique et technologies de l'information,SCI 1035,Apprentissage profond,B,Certificat en science des données,4865,Science des données
Diego,Vidal,"4905 Rue West Broadway, Montréal, QC H4V 1R5",514-778-9936,28374659,vidal.diego@univ.teluq.ca,VIDD28374659,VIDD18069249,Masculin,18-06-1992,Automne 2022,Sciences humaines et sociales,ADM 3012,Gestion de la diversité culturelle,C,Programme court  d'études internationales et interculturelles,675,Études internationales et interculturelles
