e_Prénom,e_Nom,e_NuméroÉtudiant,e_CodePermanent,e_SessionÉtudes,e_SigleDuCours,e_TitreDuCours,e_NoteFinaleDuCours
Hector,Perrin,68735479,PERH28079906,"Hiver 2022","ADM 6010","Marketing en affaires électroniques",B
Hector,Perrin,68735479,PERH28079906,"Hiver 2022","ADM 6020","Stratégies en affaires électroniques",A
Hector,Perrin,68735479,PERH28079906,"Hiver 2022","ADM 6030","Gestion des risques en affaires électroniques",C
Hector,Perrin,68735479,PERH28079906,"Hiver 2022","ADM 6040","Gestion stratégique des technologies de l'information",B
Henriette,Marchand,69487561,MARH18039532,"Hiver 2022","SCI 1016","Introduction à la science des données",A
Henriette,Marchand,69487561,MARH18039532,"Hiver 2022","SCI 1017","Traitement de données massives",B
Henriette,Marchand,69487561,MARH18039532,"Hiver 2022","SCI 1018","Statistiques avec R",A
Henriette,Marchand,69487561,MARH18039532,"Hiver 2022","SCI 1402","Projet en science des données",A
Henri,Dumont,74859761,DUMH28059631,"Hiver 2022","COM 3028","Éducation aux médias et littérature médiatique",C
Henri,Dumont,74859761,DUMH28059631,"Hiver 2022","EDU 1030","Design pédagogique en formation d'adultes",B
Henri,Dumont,74859761,DUMH28059631,"Hiver 2022","EDU 1074","Projet personnel",A
Henri,Dumont,74859761,DUMH28059631,"Hiver 2022","TED 1272","Les TIC et l'apprentissage en milieu de travail",A
Jean,Carpentier,76938690,CARJ26119841,"Hiver 2022","ADM 2021","Marketing international",C
Jean,Carpentier,76938690,CARJ26119841,"Hiver 2022","ADM 9001","Bâtir une entreprise: des connaissances et des méthodes",A
Jean,Carpentier,76938690,CARJ26119841,"Hiver 2022","FIN 2022","Analyse financière et gestion du fonds de roulement",B
Jean,Carpentier,76938690,CARJ26119841,"Hiver 2022","FIN 3120","Éléments d'analyse du crédit productif en microfinance",A
Lionel,Aubry,18758680,AUBL27109708,"Hiver 2022","ENV 6011","Fondements et pratiques en santé environnementale",C
Lionel,Aubry,18758680,AUBL27109708,"Hiver 2022","ENV 6012","Aires marines protégées : conservation et protection de l'habitat des cétacés",A
Lionel,Aubry,18758680,AUBL27109708,"Hiver 2022","ENV 6410","Lectures dirigées",C
Lionel,Aubry,18758680,AUBL27109708,"Hiver 2022","ENV 6415","Projet personnel",B
Louise,Brunet,85765870,BRUL10019182,"Hiver 2022","ENV 6008","Modélisation et systèmes d'aide à la décision en environnement",A
Louise,Brunet,85765870,BRUL10019182,"Hiver 2022","INF 6104","Recherche d'informations et web",B
Louise,Brunet,85765870,BRUL10019182,"Hiver 2022","INF 6408","Informatique de l'analyse multidimensionnelle",C
Louise,Brunet,85765870,BRUL10019182,"Hiver 2022","INF 6409","Forage de données",A
Milène,Duval,75698370,DUVM25109509,"Hiver 2022","ENV 1101","Introduction à la gestion des ressources naturelles",C
Milène,Duval,75698370,DUVM25109509,"Hiver 2022","ENV 1110","Changements climatiques",B
Milène,Duval,75698370,DUVM25109509,"Hiver 2022","ENV 3026","Administration (économie) et gestion du développement durable",A
Milène,Duval,75698370,DUVM25109509,"Hiver 2022","SCI 1018","Statistiques avec R",B
